CollectionYear,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,6
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Property Misconduct involving own property,1
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,5
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Substance Misconduct involving other legal substances,6
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Substance Misconduct involving tobacco,3
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,30
2021,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,2
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Persistently disruptive behaviour adversely affecting others,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Physical Misconduct involving Adults involving an object,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Physical Misconduct involving Students not involving an object,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,4
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Students involving an object,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,16
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Property Misconduct involving other's property,5
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Refusal to participate in the program of instruction,2
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Adults,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Students,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Absences,4
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,36
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,12
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,26
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,8
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,12
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,9
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,58
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Property Misconduct involving other's property,10
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Property Misconduct involving own property,3
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Refusal to participate in the program of instruction,25
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,4
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Substance Misconduct involving other legal substances,1
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Substance Misconduct involving tobacco,9
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,66
2021,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,6
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,1
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,3
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Property Misconduct involving other's property,1
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Property Misconduct involving own property,1
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,2
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Absences,4
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,22
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,15
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,17
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,11
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,63
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,7
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Property Misconduct involving own property,5
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,13
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,8
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving other legal substances,9
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving tobacco,4
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,47
2021,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,11
